disease,desc
allergy to animals,Also known as Animal Dander Allergy   Allergy to animals is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
orthostatic hypotension,"Also known as Postural Hypotension  ,Orthostatic hypotension also known as postural hypotension orthostasis and colloquially as head rush or dizzy spell is a form of hypotension in which a person's blood pressure suddenly falls when standing up or stretching. Medically it is defined as a fall in systolic blood pressure of at least 20mm Hg and diastolic blood pressure of at least 10 mm Hg when a person assumes a standing position. , Source: Wikipedia"
obstructive sleep apnea (osa),"Also known as OSA  ,Osa may refer to: ,Source: Wikipedia"
hypokalemia," Also known as Potassium Deficiency K Deficiency Hypopotassemia and Potassium Depletion  ,Hypokalemia (American English) or hypokalaemia (British English) also hypopotassemia or hypopotassaemia (ICD-9) refers to the condition in which the concentration of potassium (K+) in the blood is low. The prefix hypo- means under (contrast with hyper- meaning over); kal- refers to kalium the Neo-Latin for potassium and -emia means condition of the blood. , Source: Wikipedia"
psoriasis,"Psoriasis /sɵˈraɪ.əsɨs/ is an immune-mediated disease that affects the skin. It is typically a lifelong condition. There is currently no curebut various treatments can help to control the symptoms. , Source: Wikipedia"
dislocation of the shoulder,"Also known as Shoulder Dislocation  ,A dislocated shoulder occurs when the humerus separates from the scapula at the glenohumeral joint. The shoulder joint has the greatest range of motion of any joint in the body and as a result is particularly susceptible to dislocation and subluxation. Approximately half of major joint dislocations seen in emergency departments are of the shoulder. Partial dislocation of the shoulder is referred to as subluxation. ,Source: Wikipedia"
intussusception,"Also known as Bowel Intussusception and Intestinal Intussusception  ,Intussusception may refer to: , Source: Wikipedia"
cervicitis,"Cervicitis is inflammation of the uterine cervix. Cervicitis in women has many features in common with urethritis in men and many cases are caused by sexually transmitted infections. Non-infectious causes of cervicitis can include intrauterine devices contraceptive diaphragmsand allergic reactions to spermicides or latex condoms. , Source: Wikipedia"
abscess of the pharynx, Abscess of the pharynx is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
primary thrombocythemia," Also known as Essential Thrombocythemia Essential Thrombocytosis and Idiopathic Thrombocythemia  ,Thrombocytosis (or thrombocythemia) is the presence of high platelet counts in the blood and can be either primary (also termed essential and caused by a myeloproliferative disease) or reactive (also termed secondary). Although often symptomless (particularly when it is a secondary reaction) it can predispose to thrombosis in some patients. , Source: Wikipedia"
arthritis of the hip,Also known as Hip Arthritis   Arthritis of the hip is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
decubitus ulcer," Also known as Pressure Ulcer Pressure Sores Bed Sore and Contact Ulcers  ,Pressure ulcers also known as decubitus ulcers or bedsores are localized injuries to the skin and/or underlying tissue that usually occur over a bony prominence as a result of pressure or pressure in combination with shear and/or friction. The most common sites are the sacrum coccyx heels or the hips but other sites such as the elbows knees ankles or the back of the cranium can be affected. , Source: Wikipedia"
hypernatremia,"Also known as Excess Sodium in Blood  ,Hypernatremia or hypernatraemia (see American and British English spelling differences) is an electrolyte disturbance that is defined by an elevated sodium level in the blood. Hypernatremia is generally not caused by an excess of sodium but rather by a relative deficit of free water in the body. For this reason hypernatremia is often synonymous with the less precise termdehydration. , Source: Wikipedia"
sensorineural hearing loss,"Also known as Sensory Hearing Loss and Sensorineural Deafness  ,Sensorineural hearing loss (SNHL) is a type of hearing loss in which the root cause lies in the vestibulocochlear nerve (cranial nerve VIII) the inner ear or central processing centers of the brain. Sensorineural hearing loss can be mild moderate or severeincluding total deafness. , Source: Wikipedia"
chronic ulcer,"Also known as Chronic Skin Ulcer  ,An ulcer is a discontinuity or break in a bodily membrane that impedes the organ of which that membrane is a part from continuing its normal functions. Common forms of ulcers recognized in medicine include: ,Source: Wikipedia"
osteoporosis,"Osteoporosis (porous bones from Greek: οστούν/ostoun meaning bone and πόρος/poros meaning pore) is a disease of bones that leads to an increased risk of fracture. In osteoporosis the bone mineral density (BMD) is reduced bone microarchitecture deteriorates and the amount and variety of proteins in bone are altered. Osteoporosis is defined by the World Health Organization (WHO) as a bone mineral density of 2.5 standard deviations or more below the mean peak bone mass (average of young healthy adults) as measured by dual-energy X-ray absorptiometry; the term established osteoporosis includes the presence of a fragility fracture. The disease may be classified as primary type 1 primary type 2 or secondary. , Source: Wikipedia"
ileus,"Also known as Bowel Ileus  ,Ileus (/ˈɪliəs/ or /ˈɪlɪəs/) is a disruption of the normal propulsive ability of the gastrointestinal tract. ,Source: Wikipedia"
sickle cell crisis,"Also known as Sickle Cell Pain Crisis  ,Sickle-cell disease (SCD) or sickle-cell anaemia (SCA) or drepanocytosis is a hereditary blood disorder characterized by red blood cells that assume an abnormal rigid sickle shape. Sickling decreases the cells' flexibility and results in a risk of various complications. The sickling occurs because of a mutation in the haemoglobin gene. Individuals with one copy of the defunct gene display both normal and abnormal haemoglobin. This is an example of codominance. , Source: Wikipedia"
urethritis,"Also known as Inflammation Of Urethra  ,Urethritis is inflammation of the urethra. The most common symptom is painful or difficult urination. ,Source: Wikipedia"
prostatitis,"Also known as Prostate Inflammation  ,Prostatitis is inflammation of the prostate gland. Prostatitis is classified into acute chronic asymptomatic inflammatory prostatitis and chronic pelvic pain syndrome. , Source: Wikipedia"
otitis externa (swimmer's ear),"Also known as Swimmer's ear  ,Otitis externa (also known as External otitis and Swimmer's ear) is an inflammation of the outer ear and ear canal. Along with otitis mediaexternal otitis is one of the two human conditions commonly called earache. It also occurs in many other species. Inflammation of the skin of the ear canal is the essence of this disorder. The inflammation can be secondary to dermatitis (eczema) only with no microbial infection or it can be caused by active bacterial or fungal infection. In either case but more often with infectionthe ear canal skin swells and may become painful or tender to touch. , Source: Wikipedia"
poisoning due to anticonvulsants, Poisoning due to anticonvulsants is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
testicular torsion,"Also known as Torsion Of Testis and Spermatic Cord Torsion  ,Testicular torsion occurs when the spermatic cord (from which the testicle is suspended) twists cutting off the testicle's blood supply a condition called ischemia. The principal symptom is rapid onset of testicular pain. The most common underlying cause is a congenital malformation known as a bell-clapper deformity wherein the testis is inadequately affixed to the scrotum allowing it to move freely on its axis and susceptible to induced twisting of the cord and its vessels. The diagnosis can be made clinically but an urgent ultrasound is helpful in evaluation. Irreversible ischemia begins around six hours after onset and emergency diagnosis and treatment is required within this time in order to minimize necrosis and to improve the chance of salvaging the testicle. , Source: Wikipedia"
tricuspid valve disease,Also known as Tricuspid Valve Disorder   Tricuspid valve disease is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
urethral stricture,"Also known as Urethral Stenosis  ,A urethral stricture is a narrowing of the urethra caused by injury or disease such as urinary tract infections or other forms of urethritis. , Source: Wikipedia"
vitamin d deficiency,"Hypovitaminosis D is a deficiency of vitamin D. It can result from inadequate nutritional intake of vitamin D coupled with inadequate sunlight exposure (in particular sunlight with adequate ultraviolet B rays) disorders that limit vitamin D absorption and conditions that impair the conversion of vitamin D into active metabolites including certain liver kidneyand hereditary disorders. Deficiency results in impaired bone mineralization and leads to bone softening diseases including rickets in children and osteomalacia and osteoporosis in adults. , Source: Wikipedia"
hydatidiform mole,"Also known as Molar Pregnancy and Hydatid Mole  ,Molar pregnancy is an abnormal form of pregnancy in which a non-viable fertilized egg implants in the uterus and converts a normal pregnancy into an abnormal one (which will fail to come to term). A molar pregnancy is a gestational trophoblastic disease that grows into a mass in the uterus that has swollen chorionic villi. These villi grow in clusters that resemble grapes. A molar pregnancy can develop when an egg that is missing its nucleus is fertilized and that may or may not contain fetal tissue. It is characterized by the presence of a hydatidiform mole (or hydatid mole mola hydatidosa). Molar pregnancies are categorized into partial and complete moles. Mole as used here simply indicates clump of growing tissueor a 'growth'. , Source: Wikipedia"
pain disorder affecting the neck, Pain disorder affecting the neck is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
tuberculosis,"Also known as TB and Tuberculosis Infection  ,Tuberculosis MTB or TB (short for tubercle bacillus) is a common and in many cases lethal infectious disease caused by various strains of mycobacteria usually Mycobacterium tuberculosis. Tuberculosis typically attacks the lungs but can also affect other parts of the body. It is spread through the air when people who have an active TB infection cough sneeze or otherwise transmit respiratory fluids through the air. Most infections are asymptomatic and latent but about one in ten latent infections eventually progresses to active disease which if left untreated kills more than 50% of those so infected. , Source: Wikipedia"
pelvic fistula, Pelvic fistula is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
acute bronchiolitis,"Bronchiolitis is inflammation of the bronchioles the smallest air passages of the lungs. It usually occurs in children less than two years of age with the majority being aged between three and six months. It presents with coughing wheezing and shortness of breath which can cause some children difficulty feeding. This inflammation is usually caused by respiratory syncytial virus (70% of cases) and is much more common in the winter months. Treatment is typically supportive and may involve the use of nebulized epinephrine or hypertonic saline. Bronchiolitis is common with up to one third of children being affected in their first year of life. , Source: Wikipedia"
presbyopia,"Presbyopia is a condition where with age the eye exhibits a progressively diminished ability to focus on near objects. Presbyopia’s exact mechanisms are not known with certainty; the research evidence most strongly supports a loss of elasticity of the crystalline lens although changes in the lens’s curvature from continual growth and loss of power of the ciliary muscles (the muscles that bend and straighten the lens) have also been postulated as its cause. Like gray hair and wrinkles presbyopia is a symptom caused by the natural course of aging. The first signs of presbyopia – eyestrain difficulty seeing in dim light problems focusing on small objects and/or fine print – are usually first noticed between the ages of 40 and 50. The ability to focus on near objects declines throughout life from an accommodation of about 20 dioptres (ability to focus at 50 mm away) in a child to 10 dioptres at age 25 (100 mm) and levels off at 0.5 to 1 dioptre at age 60 (ability to focus down to 1–2 meters only). The expected maximum and minimum amplitudes of accommodation for a corrected patient of a given age can be determined using Hofstetter's formulas: Expected amplitude (D) = 18.5 - 0.3 x (age in years) Maximum amplitude (D) = 25 - 0.4 x (age in years)Minimum amplitude (D) = 15 - 0.25 x (age in years). , Source: Wikipedia"
dementia,"Dementia (taken from Latinoriginally meaning madnessfrom de- without + mentthe root of mens mind) is a serious loss of global cognitive ability in a previously unimpaired person beyond what might be expected from normal ageing. It may be static the result of a unique global brain injury or progressive resulting in long-term decline due to damage or disease in the body. Although dementia is far more common in the geriatric population it can occur before the age of 65in which case it is termed early onset dementia. , Source: Wikipedia"
insect bite,"Insect bites and stings occur when an insect is agitated and seeks to defend itself through its natural defense mechanisms or when an insect seeks to feed off the bitten person. Some insects inject formic acid which can cause an immediate skin reaction often resulting in redness and swelling in the injured area. Stings from fire ants bees wasps and hornets are usually painful and may stimulate a dangerous allergic reaction called anaphylaxis for at-risk patientsand some wasps can also have a powerful bite along with a sting. Bites from mosquitoes and fleas are more likely to cause itching than pain. , Source: Wikipedia"
paroxysmal ventricular tachycardia,"Also known as VT Ventricular Tachycardia V Tachand Ventricular Tachyarrhythmia  ,VT or Vt may refer to: , Source: Wikipedia"
congenital heart defect,"Also known as Cardiac Anomaly Heart Anomalyand Heart Malformation  ,Acongenital heart defect (CHD) is a defect in the structure of the heart and great vessels which is present at birth. Many types of heart defects exist most of which either obstruct blood flow in the heart or vessels near it or cause blood to flow through the heart in an abnormal pattern. Other defects such as long QT syndrome affect the heart's rhythm. Heart defects are among the most common birth defects and are the leading cause of birth defect-related deaths. Approximately 9 people in 1000 are born with a congenital heart defect. Many defects don't need treatment but some complex congenital heart defects require medication or surgery. , Source: Wikipedia"
connective tissue disorder,"Also known as Connective Tissue Disease  ,A connective tissue disease is any disease that has the connective tissues of the body as a target of pathology. Connective tissue is any type of biological tissue with an extensive extracellular matrix that supports binds together and protects organs. These tissues form a framework or matrix for the body and are composed of two major structural protein molecules: collagen and elastin. There are many different types of collagen protein in each of the body's tissues. Elastin has the capability of stretching and returning to its original length—like a spring or rubber band. Elastin is the major component of ligaments (tissues that attach bone to bone) and skin. In patients with connective tissue diseaseit is common for collagen and elastin to become injured by inflammation. Many connective tissue diseases feature abnormal immune system activity with inflammation in tissues as a result of an immune system that is directed against one's own body tissues (autoimmunity). , Source: Wikipedia"
foreign body in the eye, Foreign body in the eye is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
poisoning due to gas,"Also known as Gas Poisoning  ,Chemical warfare (CW) involves using the toxic properties of chemical substances as weapons. This type of warfare is distinct from nuclear warfare and biological warfare which together make up NBC the military acronym for nuclear biological and chemical (warfare or weapons) all of which are considered weapons of mass destruction (WMD). None of these fall under the term conventional weapons which are primarily effective due to their destructive potential. Chemical warfare does not depend upon explosive force to achieve an objective. Rather it depends upon the unique properties of the chemical agent weaponized. A lethal agent is designed to injure or incapacitate the enemy or deny unhindered use of a particular area of terrain. Defoliants are used to quickly kill vegetation and deny its use for cover and concealment. It can also be used against agriculture and livestock to promote hunger and starvation. With proper protective equipment training and decontamination measures the primary effects of chemical weapons can be overcome. Many nations possess vast stockpiles of weaponized agents in preparation for wartime use. The threat and the perceived threat have become strategic tools in planning both measures and counter–measures. , Source: Wikipedia"
pyogenic skin infection,"Also known as Pyoderma and Pyodermia  ,Pyoderma means any skin disease that is pyogenic. These include superficial bacterial infections such as impetigo impetigo contagiosa ecthyma folliculitis Bockhart's impetigo furuncle carbuncle tropical ulcer etc. Autoimmune conditions include pyoderma gangrenosum. Pyoderma affects more than 111 million children worldwidemaking it one of the three most common skin disorders in children along with scabies and tinea. , Source: Wikipedia"
endometrial hyperplasia,"Endometrial hyperplasia is a condition of excessive proliferation of the cells of the endometriumor inner lining of the uterus. , Source: Wikipedia"
acanthosis nigricans,"Acanthosis nigricans is a brown to black poorly defined velvety hyperpigmentation of the skin. It is usually found in body folds such as the posterior and lateral folds of the neck the axilla groin umbilicus foreheadand other areas. , Source: Wikipedia"
central atherosclerosis,Also known as Aortoiliac Disease   Central atherosclerosis is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
viral exanthem,"Also known as Viral Rash  ,An exanthem (from Greek exanthema a breaking out) is a widespread rash usually occurring in children. Exanthems can be caused by toxins or drugs microorganisms or can result from autoimmune disease. , Source: Wikipedia"
blastomycosis,"Blastomycosis (also known as North American blastomycosisBlastomycetic dermatitisand Gilchrist's disease) is a fungal infection caused by the organism Blastomyces dermatitidis. Endemic to portions of North Americablastomycosis causes clinical symptoms similar to histoplasmosis. , Source: Wikipedia"
noninfectious gastroenteritis, Noninfectious gastroenteritis is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
benign prostatic hyperplasia (bph)," Also known as BPH Benign Prostatic Hypertrophy and Benign Prostate Enlargement  ,BPH may refer to: , Source: Wikipedia"
menopause,"Also known as Change Of Life and Climacteric  ,Menopause literally means the end of monthly cycles (the end of monthly periods aka menstruation) from the Greek word pausis (cessation) and the root men- (month). Menopause is an event that typically (but not always) occurs in women in midlife during their late 40s or early 50s and it signals the end of the fertile phase of a woman's life. However rather than being defined by the state of the uterus and the absence of menstrual flow menopause is more accurately defined as the permanent cessation of the primary functions of the ovaries: the ripening and release of ova and the release of hormones that cause both the creation of the uterine liningand the subsequent shedding of the uterine lining (a.k.a. the menses or the period). , Source: Wikipedia"
primary immunodeficiency,"Primary immunodeficiencies are disorders in which part of the body's immune system is missing or does not function properly. To be considered a primary immunodeficiency the cause of the immune deficiency must not be secondary in nature (i.e. caused by other disease drug treatment or environmental exposure to toxins). Most primary immunodeficiencies are genetic disorders; the majority are diagnosed in children under the age of onealthough milder forms may not be recognized until adulthood. About 1 in 500 people is born with a primary immunodeficiency. , Source: Wikipedia"
ovarian cancer,"Also known as Cancer Of Ovary and Ovarian Ca  ,Ovarian cancer is a cancerous growth arising from the ovary. Symptoms are frequently very subtle early on and may include: bloating pelvic pain difficulty eating and frequent urinationand are easily confused with other illnesses. , Source: Wikipedia"
cataract,"Also known as Lens Opacity and Lenticular Opacity  ,A cataract is a clouding of the lens inside the eye which leads to a decrease in vision. It is the most common cause of blindness and is conventionally treated with surgery. Visual loss occurs because opacification of the lens obstructs light from passing and being focused on to the retina at the back of the eye. ,Source: Wikipedia"
dislocation of the hip," Also known as Hip Dislocation Dislocated Hip and Hip Joint Dislocation  ,Dislocation of the hip is a common injury to the hip joint. Dislocation occurs when the ball–shaped head of the femur comes out of the cup–shaped acetabulum set in the pelvis. This may happen to a varying degree. A dislocated hip much more common in females than in males is a condition that can either be congenital or acquired. Understanding the epidemiology anatomy difference between congenital and acquired screening treatments and rehabilitation are all relevant to the topic. , Source: Wikipedia"
spinal stenosis,"Also known as Spinal Narrowing  ,Spinal stenosis is an abnormal narrowing (stenosis) of the spinal canal that may occur in any of the regions of the spine. This narrowing causes a restriction to the spinal canal resulting in a neurological deficit. Symptoms include pain numbness paraesthesia and loss of motor control. The location of the stenosis determines which area of the body is affected. With spinal stenosis the spinal canal is narrowed at the vertebral canal which is a foramen between the vertebrae where the spinal cord (in the cervical or thoracic spine) or nerve roots (in the lumbar spine) pass through. There are several types of spinal stenosis: lumbar stenosis and cervical stenosis being the most frequent. While lumbar spinal stenosis is more commoncervical spinal stenosis is more dangerous because it involves compression of the spinal cord whereas the lumbar spinal stenosis involves compression of the cauda equina. , Source: Wikipedia"
intestinal obstruction,"Also known as Bowel Obstruction and Intestinal Occlusion  ,Bowel obstruction (or intestinal obstruction) is a mechanical or functional obstruction of the intestines preventing the normal transit of the products of digestion. It can occur at any level distal to the duodenum of the small intestine and is a medical emergency. The condition is often treated conservatively over a period of 2–5 days with the patient's progress regularly monitored by an assigned physician. Surgical procedures are performed on occasion however in life-threatening casessuch as when the root cause is a fully lodged foreign object or malignant tumor. , Source: Wikipedia"
heart contusion,"Also known as Cardiac Contusion and Myocardial Contusion  ,A myocardial contusion is a general term for a contusion (bruise) of the cardiac muscle (heart muscle). It is usually a consequence of blunt trauma to the anterior chest wall and the right heart is thought to be most commonly affected due to its anatomic location as the most anterior surface of the heart. Myocardial contusion is not a specific diagnosis and the extent of the injury can vary greatly. Usually there are associated injuries such as sternal and/or rib fracture. When a myocardial contusion is suspected consideration must be given to an aortic rupture which will likely be determined by clinical signs testsand imaging. , Source: Wikipedia"
congenital malformation syndrome,"Also known as Dysmorphism Congenital Anomaly Congenital Abnormalityand Congenital Malformation  ,Dysmorphic feature is a medical term referring to a difference of body structure that is suggestive of a congenital disorder genetic syndrome or birth defect. A dysmorphic feature can be a minor and isolated birth defect (e.g. clinodactyly not accompanied by other features or problems). Alternatively it can be one of a combination of features signaling a serious multi-system syndrome (e.g. the epicanthal folds of Down's syndrome). Another example would be sparse eyebrows which are indicative of cardiofaciocutaneous syndrome also known as CFC. , Source: Wikipedia"
sporotrichosis,"Also known as Schenck Disease  ,Sporotrichosis (also known as Rose gardener's disease) is a disease caused by the infection of the fungus Sporothrix schenckii. This fungal disease usually affects the skin although other rare forms can affect the lungs joints bones and even the brain. Because roses can spread the diseaseit is one of a few diseases referred to as rose-thorn or rose-gardeners' disease. , Source: Wikipedia"
lymphangitis,"Lymphangitis is an inflammation or an infection of the lymphatic channels that occurs as a result of infection at a site distal to the channel. The most common cause of lymphangitis in humans is Streptococcus pyogenes (Group A strep)although it can also be caused by the fungus Sporothrix schenckii. Lymphangitis is sometimes mistakenly called blood poisoning. In realityblood poisoning is synonymous with septicemia. , Source: Wikipedia"
wernicke korsakoff syndrome,"Also known as Korsakoff Psychosis  ,An acquired cognitive disorder characterized by inattentiveness and the inability to form short term memories. This disorder is frequently associated with chronic ALCOHOLISM; but it may also result from dietary deficiencies; CRANIOCEREBRAL TRAUMA; NEOPLASMS; CEREBROVASCULAR DISORDERS; ENCEPHALITIS; EPILEPSY; and other conditions. (Adams et al. Principles of Neurology th edp19 Source: MeSH"
intestinal disease,"Also known as Bowel Disease and Intestinal Disorder  ,In human anatomy the intestine (or bowel hose or gut) is the segment of the alimentary canal extending from the pyloric sphincter of the stomach to the anus and in humans and other mammals consists of two segments the small intestine and the large intestine. In humans the small intestine is further subdivided into the duodenumjejunum and ileum while the large intestine is subdivided into the cecum and colon. , Source: Wikipedia"
acute bronchitis,"Acute bronchitis is an inflammation of the large bronchi (medium-size airways) in the lungs that is usually caused by viruses or bacteria and may last several days or weeks. Characteristic symptoms include cough sputum (phlegm) production and shortness of breath and wheezing related to the obstruction of the inflamed airways. Diagnosis is by clinical examination and sometimes microbiological examination of the phlegm. Treatment for acute bronchitis is typically symptomatic. As viruses cause most cases of acute bronchitisantibiotics should not be used unless microscopic examination of gram-stained sputum reveals large numbers of bacteria. , Source: Wikipedia"
persistent vomiting of unknown cause,Also known as Chronic Vomiting   Persistent vomiting of unknown cause is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
open wound of the foot, Open wound of the foot is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
myocarditis,"Myocarditis or inflammatory cardiomyopathy is inflammation of heart muscle (myocardium). ,Source: Wikipedia"
preeclampsia,"Also known as Toxemia Of Pregnancy and Eph Gestosis  ,Pre-eclampsia or preeclampsia is a medical condition characterized by high blood pressure and significant amounts of protein in the urine of a pregnant woman. If left untreated it can develop into eclampsia the life-threatening occurrence of seizures during pregnancy. , Source: Wikipedia"
ischemic heart disease,"Ischaemic or ischemic heart disease (IHD) or myocardial ischaemia is a disease characterized by ischaemia (reduced blood supply) of the heart muscle usually due to coronary artery disease (atherosclerosis of the coronary arteries). Its risk increases with age smoking hypercholesterolaemia (high cholesterol levels) diabetes and hypertension (high blood pressure)and is more common in men and those who have close relatives with ischaemic heart disease. , Source: Wikipedia"
neurofibromatosis,"Neurofibromatosis (commonly abbreviated NF; neurofibromatosis type 1 is also known as von Recklinghausen disease) is a genetically-inherited disorder in which the nerve tissue grows tumors (neurofibromas) that may be benign and may cause serious damage by compressing nerves and other tissues. The disorder affects all neural crest cells (Schwann cells melanocytes and endoneurial fibroblasts). Cellular elements from these cell types proliferate excessively throughout the body forming tumors; melanocytes also function abnormally in this disease resulting in disordered skin pigmentation and café au lait spots. The tumors may cause bumps under the skin colored spots skeletal problems pressure on spinal nerve rootsand other neurological problems. , Source: Wikipedia"
chickenpox,"Also known as Chicken Pox and Varicella  ,Chickenpox (or chicken pox) is a highly contagious disease caused by primary infection with varicella zoster virus (VZV). It usually starts with vesicular skin rash mainly on the body and head rather than at the periphery and becomes itchy raw pockmarks which mostly heal without scarring. On examinationthe observer typically finds skin lesions at various stages of healing and also ulcers in the oral cavity & tonsil areas. , Source: Wikipedia"
pancreatic cancer,"Also known as Pancreas Cancer Cancer Of The Pancreas Pancreas Caand Malignant Neoplasm Of Pancreas  ,Pancreatic cancer is a malignant neoplasm originating from transformed cells arising in tissues forming the pancreas. The most common type of pancreatic cancer accounting for 95% of these tumors is adenocarcinoma (tumors exhibiting glandular architecture on light microscopy) arising within the exocrine component of the pancreas. A minority arise from islet cells and are classified as neuroendocrine tumors. The signs and symptoms that eventually lead to the diagnosis depend on the location the size and the tissue type of the tumor and may include abdominal pain lower back pain and jaundice (if the tumor compresses the bile duct). , Source: Wikipedia"
neuropathy due to drugs, Neuropathy due to drugs is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
croup,"Also known as Acute Laryngotracheobronchitis  ,Croup (or laryngotracheobronchitis) is a respiratory condition that is usually triggered by an acute viral infection of the upper airway. The infection leads to swelling inside the throat which interferes with normal breathing and produces the classical symptoms of a barking cough stridor and hoarseness. It may produce mild moderate or severe symptoms which often worsen at night. It is often treated with a single dose of oral steroids; occasionally epinephrine is used in more severe cases. Hospitalization is rarely required. , Source: Wikipedia"
idiopathic excessive menstruation,"Excessive uterine bleeding during MENSTRUATION. ,Source: MeSH"
amblyopia,"Amblyopia also known as lazy eye is an eye disorder characterized by an impaired vision in an eye that otherwise appears normal or out of proportion to associated structural abnormalities of the eye. It has been estimated to affect 1-5% of the population. , Source: Wikipedia"
meckel diverticulum,"AMeckel's diverticulum a true congenital diverticulum is a slight bulge in the small intestine present at birth and a vestigial remnant of the omphalomesenteric duct (also called the vitelline duct or yolk stalk). It is the most common malformation of the gastrointestinal tract is present in approximately 2% of the populationwith males more frequently experiencing symptoms. , Source: Wikipedia"
dislocation of the wrist,Also known as Wrist Dislocation and Dislocated Wrist   Dislocation of the wrist is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
ear drum damage,Also known as Ear Drum Trauma   Ear drum damage is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
erectile dysfunction,"Also known as Impotence Sexual Impotenceand Male Erectile Disorder  ,Erectile dysfunction (ED) is sexual dysfunction characterized by the inability to develop or maintain an erection of the penis during sexual performance. , Source: Wikipedia"
temporary or benign blood in urine,Also known as Benign Hematuria and Essential Hematuria   Temporary or benign blood in urine is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
kidney disease due to longstanding hypertension,"Also known as Hypertensive Renal Disease and Hypertensive Nephropathy  ,Hypertensive nephropathy (or hypertensive nephrosclerosis or Hypertensive renal disease) is a medical condition referring to damage to the kidney due to chronic high blood pressure. , Source: Wikipedia"
chondromalacia of the patella,"Your knee joint is made up of bone cartilage ligaments and fluid. Muscles and tendons help the knee joint move. When any of these structures is hurt or diseased you have knee problems. Knee problems can cause pain and difficulty walking. Arthritis is the most common disease that affects bones in your knees. The cartilage in the knee gradually wears awaycausing pain and swelling. Injuries to ligaments and tendons also cause knee problems. A common injury is to the anterior cruciate ligament (ACL). You usually injure your ACL by a sudden twisting motion. ACL and other knee injuries are common sports injuries. Treatment of knee problems depends on the cause. In some cases your doctor may recommend knee replacement. , Source: MedlinePlus"
onychomycosis,"Also known as Fungal Nail Infection Tinea Unguium Dermatophytosis Of Nail Nail Tineaand Dermatophytic Onychia  ,Onychomycosis (also known as dermatophytic onychomycosis ringworm of the nail and tinea unguium) means fungal infection of the nail. It is the most common disease of the nails and constitutes about a half of all nail abnormalities. , Source: Wikipedia"
urethral disorder,"Also known as Urethra Disorder Urethra Diseases Urethral Diseases Disorders Urethraand Disorders Urethral  ,In anatomy the urethra (from Greek οὐρήθρα - ourethra) is a tube that connects the urinary bladder to the genitals for the removal of fluids from the body. In males the urethra travels through the penis and carries semen as well as urine. In female placental mammals the urethra is shorter and emerges above the vaginal opening. , Source: Wikipedia"
lyme disease,"Also known as Lyme Borreliosis Borrelia Burgdorferi Infectionand Lyme's Disease  ,Lyme disease (Lyme borreliosis) is an infectious disease caused by at least three species of bacteria belonging to the genus Borrelia. Borrelia burgdorferi sensu stricto is the main cause of Lyme disease in North America whereas Borrelia afzelii and Borrelia garinii cause most European cases. The disease is named after the towns of Lyme and Old Lyme Connecticut US where a number of cases were identified in 1975. Although Allen Steere realized that Lyme disease was a tick-borne disease in 1978 the cause of the disease remained a mystery until 1981 when B. burgdorferi was identified by Willy Burgdorfer. , Source: Wikipedia"
iron deficiency anemia,"Also known as Ferropenic Anemia  ,Iron-deficiency anemia (or iron-deficiency anaemia) is a common anemia (low red blood cell or hemoglobin levels) caused by insufficient dietary intake and absorption of iron and/or iron loss from bleeding which can originate from a range of sources such as the intestinaluterine or urinary tract. , Source: Wikipedia"
acute respiratory distress syndrome (ards),"Also known as ARDS Adult Respiratory Syndrome Wet Lung Shock Lung Wet Lung Syndrome Danang Lungand Adult Hyaline Membrane Disease  ,Acute respiratory distress syndrome (ARDS) also known as respiratory distress syndrome (RDS) or adult respiratory distress syndrome (in contrast with infant respiratory distress syndrome) is a life-threatening reaction to injuries or acute infection to the lung. ARDS is a severe lung syndrome (not a disease) with direct and indirect causes. Inflammation of the lung parenchyma leads to impaired gas exchange with systemic release of inflammatory mediators causing inflammation hypoxemia and frequently multiple organ failure. This condition has a 90% death rate in untreated patients. With treatment usually mechanical ventilation in an intensive care unit the death rate is 50%. A less severe form is called acute lung injury (ALI). , Source: Wikipedia"
toxic multinodular goiter,"Also known as Parry Disease  ,Toxic multinodular goiter (also known as toxic nodular goiter toxic nodular struma) is a common cause of hyperthyroidism in which there is excess production of thyroid hormones from functionally autonomous thyroid noduleswhich do not require stimulation from thyroid stimulating hormone (TSH). , Source: Wikipedia"
open wound of the finger, Open wound of the finger is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
